_id,username,password,email,fullname,phone,role,creationDate
72e4b93000be75dd6e367723,nhung,Rmit123@,s3879954@rmit.edu.vn,Nhung Tran,0123456789,Customer,2024-06-07T19:33:13.000Z
567cedea6bd680f6d9fac54a,hakhanhne,Rmit123@,hakhanhne@gmail.com,Khanh Tran,0123456790,Customer,2024-03-18T07:53:38.000Z
21d01d11a8bae6956d4fd98d,vietanh,Rmit123@,vietanh@gmail.com,Viet Anh,0123456791,Customer,2024-04-05T04:39:14.000Z
2eff0eddee0b8c9a2601fead,duong,Rmit123@,duong@gmail.com,Duong Giang,0123456792,Customer,2023-07-19T06:24:03.000Z
71c3173179c4dcb1413b39ba,thong,Rmit123@,thong@gmail.com,Thong Vo,0123456793,Customer,2024-03-22T08:56:15.000Z
11a1b5ceea49f09253f955a8,anna_felipe,Rmit123@,anna.felipe@rmit.edu.vn,Anna Felipe,0123456798,Customer,2024-02-27T04:12:28.000Z
5d6a1f5ad9777d66c4103d51,dan_to,Tyme123@,dan.to@tyme.com,Dan To,0123456800,Customer,2024-05-03T23:58:44.000Z
596573b1e54591d7694cbcb9,lanh_tran,Tyme123@,lanh.tran@tyme.com,Lanh Tran,0123456802,Customer,2023-12-02T22:11:29.000Z
f25c51fc7b2e63ad6cc6bf77,long_nguyen,Tyme123@,long.nguyen@tyme.com,Long Nguyen,0123456804,Customer,2023-08-08T17:19:16.000Z
8221d64ec10d0f8c0eaacd7d,minh_lam,Tyme123@,minh.lam@tyme.com,Minh Lam,0123456806,Customer,2023-07-13T02:57:41.000Z
9d2cdfcd0b8de5a9eb68b1b9,thuy_nguyen,Tyme123@,thuy.nguyen@tyme.com,Thuy Nguyen,0123456808,Customer,2023-11-23T20:29:05.000Z
d70844eaf055cda2ef7b56e9,tung_nguyen,Tyme123@,tung.nguyen@tyme.com,Tung Nguyen,0123456810,Customer,2024-02-17T11:20:51.000Z
1ba4b78e62930eae5731b9ca,tuyen_nguyen,Tyme123@,tuyen.nguyen@tyme.com,Tuyen Nguyen,0123456812,Customer,2023-10-17T13:24:34.000Z
f585e5dbf71788a1594db8c5,uyen_nguyen,Tyme123@,uyen.nguyen@tyme.com,Uyen Nguyen,0123456814,Customer,2023-10-22T17:40:22.000Z
f47c26f82c759eea28ca23c8,vuong_tran,Tyme123@,vuong.tran@tyme.com,Vuong Tran,0123456816,Customer,2024-05-06T00:07:28.000Z
aa5e67c6ed4b1fa1a2f75d33,admin1,Rmit123@,admin1@gmail.com,Admin 1,0123456794,Admin,2023-07-13T19:32:24.000Z
de5b88c96f9e4797f8902765,admin2,Rmit123@,admin2@gmail.com,Admin 2,0123456795,Admin,2023-12-26T09:49:54.000Z
5334561365d21e9ad4812095,admin3,Rmit123@,admin3@gmail.com,Admin 3,0123456796,Admin,2024-04-13T07:01:32.000Z
845c864a4de70832f4364f15,admin4,Rmit123@,admin4@gmail.com,Admin 4,0123456797,Admin,2024-03-26T01:40:05.000Z
833b44f56b8cbece7d04def3,anna_felipe_admin,Rmit123@,anna.felipe+admin@rmit.edu.vn,Anna Felipe,0123456799,Admin,2024-01-26T19:54:54.000Z
8e8ebd063ea56374b2b7dfc0,dan_to_admin,Tyme123@,dan.to+admin@tyme.com,Dan To,0123456801,Admin,2023-11-23T10:11:06.000Z
8494863791b8e5234eb1ad35,lanh_tran_admin,Tyme123@,lanh.tran+admin@tyme.com,Lanh Tran,0123456803,Admin,2023-10-27T13:49:12.000Z
1890a8880bcde17bb895f735,long_nguyen_admin,Tyme123@,long.nguyen+admin@tyme.com,Long Nguyen,0123456805,Admin,2023-09-02T06:52:37.000Z
f579a2579d8d862480fad2b8,minh_lam_admin,Tyme123@,minh.lam+admin@tyme.com,Minh Lam,0123456807,Admin,2023-08-12T00:06:22.000Z
a32b8962db959b002019627a,thuy_nguyen_admin,Tyme123@,thuy.nguyen+admin@tyme.com,Thuy Nguyen,0123456809,Admin,2023-09-09T03:57:40.000Z
475654515a4b6bc03e3f1cc1,tung_nguyen_admin,Tyme123@,tung.nguyen+admin@tyme.com,Tung Nguyen,0123456811,Admin,2023-12-27T08:53:00.000Z
c06acf18d21f1a7bbbe9f371,tuyen_nguyen_admin,Tyme123@,tuyen.nguyen+admin@tyme.com,Tuyen Nguyen,0123456813,Admin,2023-07-18T08:24:27.000Z
e99436255b727036e00eefd5,uyen_nguyen_admin,Tyme123@,uyen.nguyen+admin@tyme.com,Uyen Nguyen,0123456815,Admin,2023-10-09T12:55:54.000Z
bf86ecec42cd596815b82763,vuong_tran_admin,Tyme123@,vuong.tran+admin@tyme.com,Vuong Tran,0123456817,Admin,2023-06-22T19:08:36.000Z
